"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","68.16","68.74","68.82","76.95","74.51","73.87","74.70","72.17","67.89","67.13","68.07","66.21","74.13","76.42","80.17","83.01","82.76","83.68","85.11","79.80","71.98","70.14","70.63","70.72","69.82","76.49","77.14","71.91","71.44","69.37","69.48","67.37","64.01","62.68","62.52","67.83","72.65","70.05","67.27","70.62","65.38","52.54","29.74","29.02","38.12","38.51","42.70","42.60","42.97","39.40","43.46","46.57","44.89","40.91","40.60","37.80","40.97","40.75","38.82","42.60","49.84","53.06","51.51","51.53","52.38","52.63","58.52","57.07","56.28","54.08","55.55","59.56","61.66","57.38","56.42","55.90","57.20","59.07","58.59","59.11","57.71","56.23","54.75","54.32","56.97","61.35","64.33","66.69","69.63","65.40","62.62","58.11","54.79","48.82","45.79","48.56","51.47","55.66","56.70","57.63","57.23","66.01","69.74","70.46","67.47","62.74","63.90","63.05","66.34","65.94","68.35","69.08","70.17","66.03","64.82","59.43","56.64","51.78","51.19","51.35","55.68","59.44","59.97","63.28","65.98","66.69","68.05","65.52","64.64","62.95","60.21","63.66","68.19","73.44","75.62","79.66","78.46","78.29","78.41","77.11","76.40","76.65","80.03","81.19","87.70","88.76","89.73","86.30","88.30","89.01","82.88","80.22","78.34","77.09","78.67","78.96","82.45","84.55","85.17","84.84","87.31","89.66","89.97","89.43","87.33","87.09","87.71","87.70","95.37","103.09","106.72","108.60","111.13","114.78","122.73","123.15","117.71","120.06","123.91","126.28","135.62","140.95","145.07","148.13","146.94","147.00","143.18","138.64","129.92","113.50","112.22","107.10","118.40","119.96","117.74","112.76","109.50","111.84","108.48","103.47","92.88","89.22","88.89","92.83","99.63","101.13","106.17","110.00","120.29","122.22","109.96","101.48","90.47","89.85","92.34","93.39","98.31","98.56","101.60","98.62","100.17","101.00","98.20","93.37","90.09","91.28","87.80","86.02","91.95","93.76","94.14","97.84","101.99","102.05","99.76","98.19","96.02","93.40","88.49","90.12","93.75","96.66","99.25","93.41","103.96","110.34","102.80","103.24","97.93","94.11","91.11","89.23","91.81","96.41","98.65","101.58","105.33","111.01","110.38","105.71","109.44","106.85","104.33","106.12","113.65","116.57","121.25","122.73","126.77","133.61","132.10","127.79","126.97","126.76","126.87","127.47","130.54","136.41","145.40","150.49","157.11","168.73","164.86","161.59","164.84","163.99","155.59","149.96","152.14","163.41","167.57","173.65","179.67","180.06","182.99","187.56","180.37","178.46","176.93","178.06","189.62","200.58","197.59","209.11","217.24","228.33","233.06","232.98","236.96","226.07","221.84","213.76","225.63"
,"Hogs 6","67.41","73.18","76.99","82.53","93.96","87.38","94.01","87.74","76.47","80.73","72.29","73.88","70.76","71.72","88.80","96.60","99.39","101.90","105.38","102.29","102.29","85.65","74.98","68.08","70.27","82.79","80.86","67.48","63.62","68.18","75.54","76.30","56.48","60.49","59.09","61.27","60.87","67.40","69.47","69.36","68.46","77.68","78.29","74.47","66.84","68.13","56.15","55.00","55.23","65.57","74.26","76.33","85.32","95.46","94.06","90.74","83.57","83.31","70.61","75.29","72.36","78.25","74.98","73.30","81.68","76.74","72.53","74.18","70.83","68.07","62.85","62.00","58.74","58.01","61.59","56.51","63.31","69.99","73.77","70.37","70.33","64.03","62.41","61.75","60.81","66.35","66.59","63.92","71.30","71.04","68.70","67.12","59.61","50.01","42.70","44.20","42.31","46.41","48.75","48.53","65.73","68.71","66.65","75.87","72.68","67.08","61.43","57.89","60.73","64.64","65.41","63.85","62.55","58.42","59.98","52.28","48.48","47.70","51.18","57.12","56.70","58.75","55.80","53.65","73.74","67.43","68.36","71.10","71.20","64.41","53.52","57.01","63.97","71.17","71.48","76.41","78.51","80.63","81.92","87.74","79.16","82.00","77.61","75.60","75.47","77.98","77.78","72.48","70.80","81.09","88.05","82.27","66.82","68.75","73.34","71.46","74.52","79.55","73.82","72.81","78.61","86.85","94.97","92.20","87.75","86.57","81.76","76.18","75.27","79.99","98.13","121.36","111.00","107.94","121.56","119.84","98.75","108.49","94.29","89.80","81.34","75.90","72.68","67.88","77.54","89.81","88.28","91.27","89.47","86.43","83.40","68.13","72.53","82.80","82.81","80.12","88.48","96.14","98.81","85.60","78.43","67.41","63.46","64.68","75.45","87.06","90.63","81.98","83.83","99.82","109.70","101.33","81.40","68.19","80.64","76.41","77.61","86.07","80.75","67.05","75.92","90.77","100.28","80.09","61.07","81.72","76.61","70.35","69.22","71.50","67.93","95.42","102.40","101.01","89.27","98.79","82.82","73.68","76.33","73.19","72.19","74.42","73.27","75.36","75.47","75.93","58.66","65.47","73.36","94.03","91.21","80.48","75.43","84.47","101.35","118.14","123.10","131.39","128.47","128.20","115.55","104.54","90.70","84.97","87.47","101.40","117.36","117.33","120.06","126.23","132.36","142.05","126.35","119.92","113.82","103.70","96.32","92.05","99.56","91.91","93.66","104.04","119.24","128.66","113.48","111.65","93.24","87.90","82.44","90.92","101.04","110.05","115.25","115.49","114.73","116.76","108.28","105.56","113.08","110.42","109.15","111.59","118.69","115.60","114.49","124.43","136.86","138.86","135.31","130.44","117.94","107.07","104.57"
"New Brunswick",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","123.00","120.00","120.00","110.00","109.00","135.00","135.00","107.00","115.00","110.00","115.00","118.00","120.00","134.00","134.00","128.00","134.00","129.00","130.00","113.00","116.00","116.00","105.00","105.00","130.00","150.00","170.00","160.00","170.00","175.00","175.00","135.00","128.00","120.00","146.00","142.00","145.00","165.00","170.00","166.00","158.00","170.00","175.00","131.00","110.00","130.00","140.00","140.00","140.00","154.00","140.00","140.00","145.00","145.00","145.00","135.00","125.00","140.00","130.00","120.00","110.00","103.00","105.00","105.00","105.00","115.00","115.00","95.00","96.00","100.00","90.00","100.00","85.00","110.00","115.00","115.00","110.00","110.00","110.00","86.00","92.00","123.00","125.00","131.00","142.00","147.00","178.00","185.00","180.00","200.00","197.00","165.00","132.00","167.00","170.00","174.00","186.00","200.00","210.00","180.00","191.00","185.00","190.00","175.00","161.00","189.00","193.00","203.00","210.00","200.00","210.00","212.00","204.00","195.00","197.00","170.00","165.00","163.00","158.00","155.00","163.00","155.00","165.00","155.00","154.00","151.00","149.00","133.00","150.00","173.00","174.00","167.00","160.00","170.00","184.00","173.00","150.00","170.00","190.00","165.00","165.00","168.00","175.00","185.00","180.00","185.00","195.00","195.00","195.00","195.00","190.00","193.00","191.00","189.00","192.00","195.00","193.00","198.00","205.00","212.00","203.00","200.00","193.00","189.50","184.13","223.89","220.63","240.56","233.89","230.00","219.17","230.63","233.63","257.78","231.44","209.61","211.74","202.56","220.42","222.54","214.80","219.83","218.51","213.64","203.03","189.72","176.40","182.69","151.01","190.97","171.25","195.66","187.15","186.40","165.86","146.51","156.86","130.29","119.42","159.27","137.23","137.04","122.71","126.96","132.97","148.90","168.54","161.28","155.77","176.74","177.61","185.41","181.45","172.24","213.74","197.28","199.74","190.50","209.19","200.24","223.92","223.47","243.45","198.60","186.97","185.90","195.44","213.41","218.73","195.65","204.42","206.97","197.87","208.50","251.51","236.40","188.78","200.70","209.07","230.99","252.47","240.15","260.93","273.92","264.14","262.07","220.54","209.26","200.62","211.25","218.68","219.63","243.08","260.58","261.25","269.58","288.95","275.06","295.24","261.12","260.48","265.39","340.62","360.33","378.86","359.61","313.81","392.26","322.09","339.71","489.02","445.01","370.64","367.59","347.68","362.58","338.19","324.26","329.66","332.57","321.18","308.57","285.38","330.19","320.90","333.67","302.27","305.29","320.56","319.56","307.08","297.86","297.86","294.89","300.78","313.63","304.91","297.69","307.07","268.07","281.47","273.03","281.73","239.06","241.45","243.91","246.35","229.87","278.98","287.49","278.30","300.62","296.17"
,"Barley 3 4","128.00","128.00","125.00","127.00","128.00","136.00","142.00","116.00","123.00","115.00","130.00","135.00","141.00","150.00","150.00","162.00","164.00","160.00","159.00","147.00","150.00","159.00","156.00","149.00","151.00","161.00","160.00","163.00","164.00","161.00","165.00","138.00","128.00","151.00","158.00","164.00","159.00","164.00","166.00","170.00","169.00","166.00","155.00","131.00","127.00","139.00","145.00","144.00","145.00","145.00","145.00","145.00","143.00","146.00","150.00","132.00","142.00","146.00","148.00","145.00","140.00","135.00","125.00","125.00","125.00","125.00","125.00","105.00","80.00","80.00","80.00","85.00","110.00","110.00","110.00","114.00","115.00","114.00","90.00","93.00","100.00","123.00","130.00","142.00","140.00","162.00","204.00","210.00","212.00","215.00","215.00","175.00","160.00","179.00","200.00","186.00","187.00","189.00","194.00","204.00","210.00","216.00","213.00","215.00","184.00","206.00","220.00","210.00","188.00","184.00","191.00","190.00","190.00","184.00","195.00","175.00","172.00","170.00","175.00","180.00","180.00","178.00","175.00","180.00","175.00","172.00","170.00","178.00","172.00","190.00","195.00","200.00","211.00","216.00","223.00","230.00","247.00","240.00","237.00","236.00","218.00","217.00","223.00","235.00","238.00","238.00","242.00","243.00","252.00","255.00","265.00","258.00","260.00","262.00","264.00","270.00","268.00","264.00","259.00","258.00","253.00","250.00","241.00","227.00","193.13","189.50","191.88","198.89","198.89","203.13","198.33","213.13","209.63","223.89","205.88","193.06","200.94","195.78","201.13","204.33","210.85","218.06","225.20","225.78","233.52","228.18","230.74","203.69","181.81","209.51","199.06","173.59","198.85","197.04","194.43","201.43","186.05","184.84","179.86","172.44","152.90","127.65","142.73","164.13","149.83","169.71","174.63","184.47","186.46","186.74","193.19","193.72","199.18","198.81","192.93","207.19","207.19","211.90","218.40","218.66","220.16","224.98","227.75","209.90","217.81","215.63","207.40","194.74","220.27","223.79","227.66","237.63","249.85","235.17","229.91","239.75","216.89","228.90","232.10","260.02","260.90","248.38","248.75","233.83","262.54","264.81","260.21","242.00","217.58","225.24","261.15","264.86","265.63","264.64","262.02","284.36","283.76","290.66","302.99","286.69","295.53","301.10","335.21","355.12","335.43","341.39","344.60","352.77","360.25","298.87","368.72","382.56","305.51","309.40","312.60","316.52","333.87","324.66","363.04","311.96","315.71","320.07","308.46","310.11","313.21","319.88","322.74","321.84","321.84","312.18","312.18","293.45","293.45","267.94","223.28","250.44","239.00","251.58","249.06","264.30","253.43","252.20","254.72","240.39","228.08","246.35","226.82","217.04","227.95","212.11","213.33","214.23","212.09"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Canola (including rapeseed)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","66.45","66.18","66.28","74.40","73.17","72.41","70.89","70.06","66.83","66.53","66.09","65.52","72.82","75.60","78.21","80.31","79.71","79.84","79.71","78.86","77.57","76.13","74.01","73.38","70.60","74.27","75.35","71.89","68.94","68.42","65.51","65.51","62.99","63.06","60.73","62.07","69.67","67.43","66.01","68.01","64.65","51.76","28.60","29.31","36.02","37.55","44.32","41.67","42.52","37.79","42.92","44.16","43.97","41.84","40.71","37.25","39.43","40.65","38.49","41.67","52.18","50.75","48.87","50.42","53.26","51.87","54.76","55.06","56.23","52.67","52.76","56.50","57.37","54.66","55.37","53.28","56.62","61.16","56.43","57.66","57.77","53.82","52.68","52.25","55.58","58.73","62.18","64.12","68.83","63.45","60.40","57.15","53.58","47.49","47.17","47.37","49.96","53.98","54.02","57.43","57.68","62.33","66.13","67.80","65.00","60.75","61.83","60.85","68.19","64.45","63.66","66.05","67.58","64.56","62.49","58.40","54.20","50.12","50.09","50.48","50.90","55.99","57.64","61.76","63.73","64.50","65.85","64.04","62.45","59.64","57.23","61.60","64.17","69.23","73.11","78.62","76.40","73.76","73.51","74.02","73.14","74.16","74.58","78.52","85.19","88.17","87.47","83.84","87.14","87.22","80.11","80.00","76.33","75.12","76.17","76.32","79.54","82.61","83.61","83.15","85.83","88.34","88.41","88.14","86.10","86.15","85.00","85.20","91.04","97.59","105.00","106.76","110.21","111.03","119.80","119.36","114.94","117.28","121.40","124.75","133.02","133.38","143.86","144.56","145.29","144.38","142.03","135.01","128.40","112.74","111.62","105.90","116.02","118.17","113.17","111.40","107.91","110.93","106.46","100.86","91.34","87.85","86.92","90.66","94.95","96.99","105.36","106.24","117.91","119.88","107.98","97.63","89.55","88.06","89.60","91.01","92.02","96.09","102.78","98.85","98.91","98.62","95.96","91.25","88.39","88.15","85.30","81.13","86.37","93.71","92.43","94.53","103.41","99.36","94.95","95.05","93.84","92.14","85.18","89.89","93.90","96.86","99.35","93.44","104.09","110.30","102.93","103.37","98.03","94.15","91.11","89.21","91.78","96.42","98.66","101.63","105.41","110.88","110.48","105.79","109.53","106.75","104.33","106.11","113.73","116.68","121.45","122.94","126.98","133.65","132.34","128.00","127.15","127.21","127.06","127.64","130.72","136.66","145.70","150.81","157.48","168.92","165.26","161.97","165.26","163.83","155.87","150.19","152.42","163.81","168.01","174.18","180.23","180.42","183.56","188.18","180.95","179.10","177.47","178.55","190.18","201.22","198.28","209.81","218.05","228.98","233.97","233.86","237.85","229.16","222.62","214.46","226.41"
,"Hogs 6","71.39","73.32","74.90","81.01","89.15","86.58","89.72","85.27","75.14","77.21","73.29","73.49","66.78","68.75","81.83","89.76","94.01","98.49","102.02","98.51","98.51","83.51","73.66","65.50","70.16","80.26","77.14","67.55","62.86","68.03","74.96","75.80","54.83","59.89","58.35","59.88","60.24","66.43","65.77","65.63","67.73","76.60","77.81","73.66","65.76","68.87","55.30","54.16","54.29","64.82","73.81","75.96","84.07","94.75","93.39","89.13","82.47","82.30","69.20","74.05","71.28","77.14","74.04","71.94","80.11","75.94","71.03","72.97","69.22","66.59","61.09","60.50","57.14","55.78","59.37","54.48","61.53","67.52","71.52","68.22","68.06","61.91","60.37","59.52","58.69","64.25","64.36","62.06","69.09","68.82","66.78","65.19","56.36","47.92","40.75","42.05","40.27","44.81","46.82","45.93","64.67","66.41","64.57","73.56","70.81","64.71","58.57","55.02","57.81","62.71","62.75","61.67","60.42","56.23","57.66","49.05","46.40","45.71","48.99","54.22","57.86","59.98","61.95","63.80","76.11","70.76","70.18","73.00","73.20","63.88","52.78","58.04","63.39","71.13","71.05","75.91","77.47","79.98","81.73","87.37","78.22","82.38","76.77","74.90","73.89","75.51","76.40","71.19","70.62","82.39","86.35","79.78","62.91","68.94","70.45","70.52","72.50","78.03","69.79","70.97","79.86","89.64","92.59","87.57","80.95","78.97","72.39","71.22","71.25","79.04","104.50","114.42","98.65","104.07","114.56","113.06","95.07","99.90","85.36","82.05","75.54","71.82","70.15","62.75","74.56","84.58","84.44","88.26","83.35","79.12","72.01","63.13","71.10","80.36","77.95","76.80","88.12","93.77","92.27","79.15","72.65","62.06","58.50","65.08","74.26","86.11","85.59","75.19","85.13","99.43","104.19","94.67","71.49","68.17","75.91","71.91","76.98","81.87","74.56","63.43","74.93","91.70","92.98","68.82","60.67","78.34","71.85","65.72","66.75","65.81","68.40","95.55","100.03","94.97","85.20","95.52","73.20","72.86","70.93","69.11","68.99","69.28","73.08","64.86","77.99","62.87","56.02","63.17","74.42","91.63","84.21","73.44","73.67","83.95","102.19","116.25","120.31","128.16","125.05","123.00","108.86","96.73","85.00","81.50","85.69","103.16","114.33","114.03","116.95","124.47","133.55","138.83","117.25","114.45","106.97","98.69","89.88","90.87","95.53","86.39","92.64","104.30","119.79","122.40","105.42","98.85","92.82","81.41","80.25","89.82","99.28","109.13","111.64","111.30","109.45","112.02","103.17","103.36","110.48","107.05","105.25","110.47","114.75","109.12","112.46","123.97","132.79","135.43","130.86","123.59","111.78","102.37","101.12"
"Quebec",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
